"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EXCH","TOT","NATUSD","A","2019",1.438507,
"AUT","EXCH","TOT","NATUSD","A","2019",0.893276,
"BEL","EXCH","TOT","NATUSD","A","2019",0.893276,
"CAN","EXCH","TOT","NATUSD","A","2019",1.326854,
"CZE","EXCH","TOT","NATUSD","A","2019",22.93225,
"DNK","EXCH","TOT","NATUSD","A","2019",6.669447,
"FIN","EXCH","TOT","NATUSD","A","2019",0.893276,
"FRA","EXCH","TOT","NATUSD","A","2019",0.893276,
"DEU","EXCH","TOT","NATUSD","A","2019",0.893276,
"GRC","EXCH","TOT","NATUSD","A","2019",0.893276,
"HUN","EXCH","TOT","NATUSD","A","2019",290.66,
"ISL","EXCH","TOT","NATUSD","A","2019",122.606774,
"IRL","EXCH","TOT","NATUSD","A","2019",0.893276,
"ITA","EXCH","TOT","NATUSD","A","2019",0.893276,
"JPN","EXCH","TOT","NATUSD","A","2019",109.009666,
"KOR","EXCH","TOT","NATUSD","A","2019",1165.498904,
"LUX","EXCH","TOT","NATUSD","A","2019",0.893276,
"MEX","EXCH","TOT","NATUSD","A","2019",19.263633,
"NLD","EXCH","TOT","NATUSD","A","2019",0.893276,
"NZL","EXCH","TOT","NATUSD","A","2019",1.517875,
"NOR","EXCH","TOT","NATUSD","A","2019",8.8,
"POL","EXCH","TOT","NATUSD","A","2019",3.839375,
"PRT","EXCH","TOT","NATUSD","A","2019",0.893276,
"SVK","EXCH","TOT","NATUSD","A","2019",0.893276,
"ESP","EXCH","TOT","NATUSD","A","2019",0.893276,
"SWE","EXCH","TOT","NATUSD","A","2019",9.458349,
"CHE","EXCH","TOT","NATUSD","A","2019",0.993841,
"TUR","EXCH","TOT","NATUSD","A","2019",5.673819,
"GBR","EXCH","TOT","NATUSD","A","2019",0.783445,
"USA","EXCH","TOT","NATUSD","A","2019",1,
"BRA","EXCH","TOT","NATUSD","A","2019",3.927342,
"CHL","EXCH","TOT","NATUSD","A","2019",702.897423,
"CHN","EXCH","TOT","NATUSD","A","2019",6.908385,
"COL","EXCH","TOT","NATUSD","A","2019",3280.831631,
"EST","EXCH","TOT","NATUSD","A","2019",0.893276,
"IND","EXCH","TOT","NATUSD","A","2019",70.419969,
"IDN","EXCH","TOT","NATUSD","A","2019",14147.671361,
"ISR","EXCH","TOT","NATUSD","A","2019",3.564527,
"RUS","EXCH","TOT","NATUSD","A","2019",64.737658,
"SVN","EXCH","TOT","NATUSD","A","2019",0.893276,
"ZAF","EXCH","TOT","NATUSD","A","2019",14.448427,
"EU28","EXCH","TOT","NATUSD","A","2019",0.893276,
"LVA","EXCH","TOT","NATUSD","A","2019",0.893276,
"LTU","EXCH","TOT","NATUSD","A","2019",0.893276,
"SAU","EXCH","TOT","NATUSD","A","2019",3.75,
"EA19","EXCH","TOT","NATUSD","A","2019",0.893276,
"ARG","EXCH","TOT","NATUSD","A","2019",48.147892,
"CRI","EXCH","TOT","NATUSD","A","2019",587.294596,
"BGR","EXCH","TOT","NATUSD","A","2019",1.747042,
"HRV","EXCH","TOT","NATUSD","A","2019",6.622545,
"CYP","EXCH","TOT","NATUSD","A","2019",0.893276,
"MLT","EXCH","TOT","NATUSD","A","2019",0.893276,
"ROU","EXCH","TOT","NATUSD","A","2019",4.237925,
"MKD","EXCH","TOT","NATUSD","A","2019",54.9472,
